therapy_label,disease_label,drug_label,raw_text,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Adagrasib,Non-small cell lung cancer,"KRAZATI- adagrasib tablet, coated","
KRAZATI, as a single-agent, is indicated for the treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test [see Dosage and Administration (2.1)], who have received at least one prior systemic therapy.
This indication is approved under accelerated approval based on objective response rate (ORR) and duration of response (DOR) [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of a clinical benefit in a confirmatory trial.",KRAS,Yes,,Yes,
Brentuximab Vedotin,ClassicHodgkinlymphoma.,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",,*,,,,
Brentuximab Vedotin,high-grade B-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",,*,,,,
Brentuximab Vedotin,Diffuse large B-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution",,*,,,,
Brentuximab Vedotin,Anaplastic large cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution","
ADCETRIS is indicated for the treatment of adult patients with previously untreated sALCL or other CD30-expressing PTCL, including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified (NOS), in combination with cyclophosphamide, doxorubicin, and prednisone.
 


1.6 Relapsed Systemic Anaplastic Large Cell Lymphoma (sALCL)
ADCETRIS is indicated for the treatment of adult patients with sALCL after failure of at least one prior multi-agent chemotherapy regimen.
 


1.7 Relapsed Primary Cutaneous Anaplastic Large Cell Lymphoma (pcALCL) or CD30-Expressing Mycosis Fungoides (MF)
ADCETRIS is indicated for the treatment of adult patients with pcALCL or CD30-expressing MF who have received prior systemic therapy.",NOS,,Yes,,
Brentuximab Vedotin,Mycosis fungoides,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution","
ADCETRIS is indicated for the treatment of adult patients with pcALCL or CD30-expressing MF who have received prior systemic therapy.",*,,,,
Brentuximab Vedotin,Peripheral T-cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution","
ADCETRIS is indicated for the treatment of adult patients with previously untreated sALCL or other CD30-expressing PTCL, including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified (NOS), in combination with cyclophosphamide, doxorubicin, and prednisone.",NOS,,Yes,,
Brentuximab Vedotin,Cutaneous anaplastic large cell lymphoma,"ADCETRIS- brentuximab vedotin injection, powder, lyophilized, for solution","
ADCETRIS is indicated for the treatment of adult patients with pcALCL or CD30-expressing MF who have received prior systemic therapy.",*,,,,
Ado-Trastuzumab Emtansine,Breast cancer,"KADCYLA- ado-trastuzumab emtansine injection, powder, lyophilized, for solution","
KADCYLA®, as a single agent, is indicated for the treatment of patients with HER2-positive, metastatic breast cancer who previously received trastuzumab and a taxane, separately or in combination. Patients should have either:

Received prior therapy for metastatic disease, or
Developed disease recurrence during or within six months of completing adjuvant therapy.

Select patients for therapy based on an FDA-authorized test for KADCYLA [see Dosage and Administration (2.1)].
 


1.2 Early Breast Cancer (EBC) 
KADCYLA, as a single agent, is indicated for the adjuvant treatment of patients with HER2-positive early breast cancer who have residual invasive disease after neoadjuvant taxane and trastuzumab -based treatment.
Select patients for therapy based on an FDA-authorized test for KADCYLA [see Dosage and Administration (2.1)].",*,Yes,,,
Doxorubicin Hydrochloride,non-small cell lung cancer,,,*,,,,
Doxorubicin Hydrochloride,"
Hodgkinlymphoma
",,,*,,,,
Doxorubicin Hydrochloride,gastric (stomach) cancer,,,*,,,,
Doxorubicin Hydrochloride,acute lymphoblastic leukemia,,,*,,,,
Doxorubicin Hydrochloride,"
non-Hodgkinlymphoma
",,,*,,,,
Doxorubicin Hydrochloride,ovarian cancer,,,*,,,,
Doxorubicin Hydrochloride,breast cancer,,,*,,,,
Doxorubicin Hydrochloride,neuroblastoma,,,*,,,,
Doxorubicin Hydrochloride,Wilms tumor,,,*,,,,
Doxorubicin Hydrochloride,thyroid cancer,,,*,,,,
Doxorubicin Hydrochloride,transitional cell bladder cancer,,,*,,,,
Doxorubicin Hydrochloride,soft tissue and bone sarcomas,,,*,,,,
Doxorubicin Hydrochloride,acute myeloid leukemia,,,*,,,,
Doxorubicin Hydrochloride,small cell lung cancer,,,*,,,,
Afamitresgene Autoleucel,synovial sarcoma,"TECELRA- afamitresgene autoleucel injection, suspension",,*,,,,
Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","
GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [see Dosage and Administration (2.1), Clinical Pharmacology (12.1), Clinical Studies (14.1)].





Limitations of Use: The safety and efficacy of GILOTRIF have not been established in patients whose tumors have resistant EGFR mutations [see Clinical Studies (14.1)].","EGFR, epidermal growth factor receptor",Yes,Yes,,
Everolimus,Renal cell carcinoma,,,*,,,,
Everolimus,Pancreatic neuroendocrine tumors,,,*,,,,
Everolimus,Neuroendocrine tumors,,,*,,,,
Everolimus,Breast cancer,,,*,,,,
Everolimus,Subependymal giant cell astrocytoma,,,*,,,,
Niraparib Tosylate Monohydrate and Abiraterone Acetate,Prostate cancer,"AKEEGA- niraparib tosylate monohydrate and abiraterone acetate tablet, film coated",,*,,,,
Netupitant and Palonosetron Hydrochloride,Nausea,AKYNZEO- netupitant and palonosetron capsule,,*,,,,
Netupitant and Palonosetron Hydrochloride,vomiting,AKYNZEO- netupitant and palonosetron capsule,,*,,,,
Imiquimod,Genital warts or perianal warts,,,*,,,,
Imiquimod,Basal cell carcinoma,,,*,,,,
Imiquimod,Actinic keratosis,,,*,,,,
Aldesleukin,Renal cell carcinoma,"PROLEUKIN- aldesleukin injection, powder, lyophilized, for solution",,*,,,,
Aldesleukin,Melanoma,"PROLEUKIN- aldesleukin injection, powder, lyophilized, for solution",,*,,,,
Alectinib,Non-small cell lung cancer,ALECENSA- alectinib hydrochloride capsule,"

ALECENSA is indicated as adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors ≥ 4 cm or node positive), as detected by an FDA-approved test [see Dosage & Administration (2.1)].",*,,,,
Alectinib,Non-small cell lung cancer,ALECENSA- alectinib hydrochloride capsule,"

ALECENSA is indicated as adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors ≥ 4 cm or node positive), as detected by an FDA-approved test [see Dosage & Administration (2.1)].",*,,,,
Alemtuzumab,B-cell chronic lymphocytic leukemia,CAMPATH- alemtuzumab injection,,*,,,,
Pemetrexed Disodium,Nonsquamous non-small cell lung cancer,"ALIMTA- pemetrexed disodium injection, powder, lyophilized, for solution",,*,,,,
Pemetrexed Disodium,Malignant pleural mesothelioma,"ALIMTA- pemetrexed disodium injection, powder, lyophilized, for solution",,*,,,,
Melphalan Hydrochloride,Multiple myeloma,,,*,,,,
Melphalan Hydrochloride,Uveal melanoma,,,*,,,,
Melphalan,Multiple myeloma,,,*,,,,
Melphalan,Ovarian epithelial cancer,,,*,,,,
Palonosetron Hydrochloride,Nausea,,,*,,,,
Palonosetron Hydrochloride,vomiting,,,*,,,,
Alpelisib,Breast cancer,PIQRAY- alpelisib tablet,,*,,,,
Brigatinib,Non-small cell lung cancer,"ALUNBRIG- brigatinib tablet, film coated",,*,,,,
Bevacizumab,Hepatocellular carcinoma,,,*,,,,
Bevacizumab,Renal cell carcinoma,,,*,,,,
Bevacizumab,Glioblastoma,,,*,,,,
Bevacizumab,Nonsquamous non-small cell lung cancer,,,*,,,,
Bevacizumab,primary peritoneal cancer,,,*,,,,
Bevacizumab,fallopian tube,,,*,,,,
Bevacizumab,Cervical cancer,,,*,,,,
Bevacizumab,Ovarian epithelial,,,*,,,,
Bevacizumab,Colorectal cancer,,,*,,,,
Aminolevulinic Acid Hydrochloride,Actinic keratosis,,,*,,,,
Amifostine,Renal (kidney) toxicity,ETHYOL- amifostine injection,,*,,,,
Amifostine,Xerostomia,ETHYOL- amifostine injection,"
ETHYOL is indicated to reduce the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer, where the radiation port includes a substantial portion of the parotid glands
 
  [see
  
   Clinical Studies (14.2)]
 
  .

 

Limitation of Use

Do not use ETHYOL in other settings where chemotherapy can produce a significant survival benefit or cure
 
  [seeWarnings and Precautions (5.1)]﻿, or in patients receiving definitive radiotherapy
 
  [seeWarnings and Precautions (5.2)], except in the context of a clinical study.",*,,,,
Aminolevulinic Acid Hydrochloride,Actinic keratosis,,,*,,,,
Amivantamab-vmjw,non-small cell lung cancer,RYBREVANT- amivantamab-vmjw injection,,*,,,,
Lifileucel,Melanoma,AMTAGVI- lifileucel suspension,,*,,,,
Anastrozole,Breast cancer,,,*,,,,
Nogapendekin Alfa Inbakicept-pmln,Non-muscle–invasive bladder cancer,ANKTIVA- nogapendekin alfa inbakicept-pmln solution,,*,,,,
Apalutamide,Prostatecancer.,"ERLEADA- apalutamide tablet, film coated",,*,,,,
Aprepitant,Nausea,,,*,,,,
Aprepitant,vomiting,,,*,,,,
Darbepoetin Alfa,Anemia,"ARANESP- darbepoetin alfa injection, solution","
Aranesp is indicated for the treatment of anemia due to chronic kidney disease (CKD), including patients on dialysis and patients not on dialysis.
 


1.2 		      	Anemia Due to Chemotherapy in Patients with Cancer
Aranesp is indicated for the treatment of anemia in patients with non-myeloid malignancies where anemia is due to the effect of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.",*,,,,
Pamidronate Disodium,breast cancer,,,*,,,,
Pamidronate Disodium,multiple myeloma,,,*,,,,
Pamidronate Disodium,hypercalcemia,,,*,,,,
Anastrozole,Breast cancer,,,*,,,,
Exemestane,breast cancer,,,*,,,,
Nelarabine,T-cell acute lymphoblastic leukemia,,,*,,,,
Nelarabine,T-cell lymphoblastic lymphoma,,,*,,,,
Arsenic Trioxide,Acute promyelocytic leukemia,"TRISENOX- arsenic trioxide injection, solution",,*,,,,
Ofatumumab,Chronic lymphocytic leukemia,,,*,,,,
Asciminib Hydrochloride,chronic myelogenous leukemia,"SCEMBLIX- asciminib tablet, film coated",,*,,,,
Asparaginase Erwinia Chrysanthemi,Acute lymphoblastic leukemia,,,*,,,,
Asparaginase Erwinia Chrysanthemi (Recombinant)-rywn,Acute lymphoblastic leukemia,RYLAZE (asparaginase erwinia chrysanthemi- recombinant-rywn injection,,*,,,,
Asparaginase Erwinia Chrysanthemi (Recombinant)-rywn,Lymphoblastic lymphoma,RYLAZE (asparaginase erwinia chrysanthemi- recombinant-rywn injection,,*,,,,
Atezolizumab,Hepatocellular carcinoma,"TECENTRIQ- atezolizumab injection, solution","
TECENTRIQ, in combination with bevacizumab, is indicated for the treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) who have not received prior systemic therapy.",TECENTRIQ,Yes,,,
Atezolizumab,Small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","

TECENTRIQ, as a single-agent, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with stage II to IIIA [see Clinical Studies (14.1)] non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test  [see Dosage and Administration (2.1)].

TECENTRIQ, as a single agent, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations [see Dosage and Administration (2.1)].

TECENTRIQ, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ, as a single-agent, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ.

 


1.2	Small Cell Lung Cancer


TECENTRIQ, in combination with carboplatin and etoposide, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).


TECENTRIQ, in combination with lurbinectedin, is indicated for the maintenance treatment of adult patients with ES-SCLC whose disease has not progressed after first-line induction therapy with TECENTRIQ or atezolizumab and hyaluronidase-tqjs, carboplatin and etoposide.","PD-L1, EGFR, TECENTRIQ, tumor-infiltrating immune cells [IC, ALK, TC",Yes,Yes,,
Atezolizumab,Non-small cell lung cancer,"TECENTRIQ- atezolizumab injection, solution","

TECENTRIQ, as a single-agent, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with stage II to IIIA [see Clinical Studies (14.1)] non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test  [see Dosage and Administration (2.1)].

TECENTRIQ, as a single agent, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations [see Dosage and Administration (2.1)].

TECENTRIQ, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ, as a single-agent, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ.","PD-L1, EGFR, TECENTRIQ, tumor-infiltrating immune cells [IC, ALK, TC",Yes,Yes,,
Atezolizumab,Alveolar soft part sarcoma,"TECENTRIQ- atezolizumab injection, solution","
TECENTRIQ, as a single agent, is indicated for the treatment of adult and pediatric patients 2 years of age and older with unresectable or metastatic alveolar soft part sarcoma (ASPS).",TECENTRIQ,Yes,,,
Atezolizumab,Melanoma,"TECENTRIQ- atezolizumab injection, solution","
TECENTRIQ, in combination with cobimetinib and vemurafenib, is indicated for the treatment of adult patients with BRAF V600 mutation-positive unresectable or metastatic melanoma [see Dosage and Administration (2.1)].","TECENTRIQ, BRAF",Yes,,,
Atezolizumab and Hyaluronidase-tqjs,Hepatocellular carcinoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"
TECENTRIQ HYBREZA, in combination with bevacizumab, is indicated for the treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) who have not received prior systemic therapy.",*,Yes,,,
Atezolizumab and Hyaluronidase-tqjs,Small cell lung cancer,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"

TECENTRIQ HYBREZA, as monotherapy, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with stage II to IIIA [see Clinical Studies (14.1)] non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test [see Dosage and Administration (2.1)].

TECENTRIQ HYBREZA, as monotherapy, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations [see Dosage and Administration (2.1)].

TECENTRIQ HYBREZA, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ HYBREZA, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ HYBREZA, as monotherapy, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ HYBREZA.

 


1.2	Small Cell Lung Cancer

TECENTRIQ HYBREZA, in combination with carboplatin and etoposide, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).

TECENTRIQ HYBREZA, in combination with lurbinectedin, is indicated for the maintenance treatment of adult patients with ES-SCLC whose disease has not progressed after first-line induction therapy with TECENTRIQ HYBREZA or intravenous atezolizumab, carboplatin and etoposide.","PD-L1, EGFR, ALK, tumor-infiltrating immune cells [IC, TECENTRIQ, TC",Yes,Yes,,
Atezolizumab and Hyaluronidase-tqjs,Non-small cell lung cancer,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"

TECENTRIQ HYBREZA, as monotherapy, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with stage II to IIIA [see Clinical Studies (14.1)] non-small cell lung cancer (NSCLC) whose tumors have PD-L1 expression on ≥ 1% of tumor cells, as determined by an FDA-approved test [see Dosage and Administration (2.1)].

TECENTRIQ HYBREZA, as monotherapy, is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), as determined by an FDA-approved test, with no EGFR or ALK genomic tumor aberrations [see Dosage and Administration (2.1)].

TECENTRIQ HYBREZA, in combination with bevacizumab, paclitaxel, and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ HYBREZA, in combination with paclitaxel protein-bound and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC with no EGFR or ALK genomic tumor aberrations.
TECENTRIQ HYBREZA, as monotherapy, is indicated for the treatment of adult patients with metastatic NSCLC who have disease progression during or following platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for NSCLC harboring these aberrations prior to receiving TECENTRIQ HYBREZA.","PD-L1, EGFR, ALK, tumor-infiltrating immune cells [IC, TC",Yes,Yes,,
Atezolizumab and Hyaluronidase-tqjs,Alveolar soft part sarcoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"

TECENTRIQ HYBREZA, as monotherapy, is indicated for the treatment of adult patients and pediatric patients (12 years of age and older who weigh 40 kg or greater) with unresectable or metastatic alveolar soft part sarcoma (ASPS).",*,Yes,,,
Atezolizumab and Hyaluronidase-tqjs,Melanoma,TECENTRIQ HYBREZA- atezolizumab and hyaluronidase-tqjs injection,"
TECENTRIQ HYBREZA, in combination with cobimetinib and vemurafenib, is indicated for the treatment of adult patients with BRAF V600 mutation-positive unresectable or metastatic melanoma as determined by an FDA-approved test [see Dosage and Administration (2.1)].",BRAF,Yes,,,
Obecabtagene Autoleucel,B-cell acute lymphoblastic leukemia,AUCATZYL- obecabtagene autoleucel kit,,*,,,,
Repotrectinib,Solid tumors,AUGTYRO- repotrectinib capsule,,*,,,,
Repotrectinib,Non-small cell lung cancer,AUGTYRO- repotrectinib capsule,,*,,,,
Avapritinib,Gastrointestinal stromal tumor,"AYVAKIT- avapritinib tablet, film coated","
AYVAKIT® is indicated for the treatment of adults with unresectable or metastatic GIST harboring a platelet-derived growth factor receptor alpha (PDGFRA) exon 18 mutation, including PDGFRA D842V mutations [see Dosage and Administration (2.2)].","platelet-derived growth factor receptor alpha, PDGFRA",Yes,,,
Avapritinib,Systemic mastocytosis,"AYVAKIT- avapritinib tablet, film coated","
AYVAKIT is indicated for the treatment of adult patients with advanced systemic mastocytosis (AdvSM). AdvSM includes patients with aggressive systemic mastocytosis (ASM), systemic mastocytosis with an associated hematological neoplasm (SM-AHN), and mast cell leukemia (MCL).




Limitations of Use:
AYVAKIT is not recommended for the treatment of patients with AdvSM with platelet counts of less than 50 × 109/L [see Warnings and Precautions (5.1)].

 


1.3	Indolent Systemic Mastocytosis (ISM)
AYVAKIT is indicated for the treatment of adult patients with indolent systemic mastocytosis (ISM).




Limitations of Use:
AYVAKIT is not recommended for the treatment of patients with ISM with platelet counts of less than 50 × 109/L [see Warnings and Precautions (5.1)].",AdvSM,Yes,,,
Bevacizumab,Hepatocellular carcinoma,,,*,,,,
Bevacizumab,Renal cell carcinoma,,,*,,,,
Bevacizumab,Glioblastoma,,,*,,,,
Bevacizumab,Nonsquamous non-small cell lung cancer,,,*,,,,
Bevacizumab,primary peritoneal cancer,,,*,,,,
Bevacizumab,fallopian tube,,,*,,,,
Bevacizumab,Cervical cancer,,,*,,,,
Bevacizumab,Ovarian epithelial,,,*,,,,
Bevacizumab,Colorectal cancer,,,*,,,,
Avelumab,Renal cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate","
BAVENCIO in combination with axitinib is indicated for the first-line treatment of patients with advanced renal cell carcinoma (RCC) [see Clinical Studies (14.3)].",BAVENCIO,Yes,Yes,,
Avelumab,Urothelial cancer,"BAVENCIO- avelumab injection, solution, concentrate",,*,,,,
Avelumab,Merkel cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate","
BAVENCIO (avelumab) is indicated for the treatment of adults and pediatric patients 12 years and older with metastatic Merkel cell carcinoma (MCC) [see Clinical Studies (14.1)].",BAVENCIO,Yes,,,
Axicabtagene Ciloleucel,B-cell non-Hodgkin lymphoma,YESCARTA- axicabtagene ciloleucel suspension,,*,,,,
Axicabtagene Ciloleucel,DLBCL,YESCARTA- axicabtagene ciloleucel suspension,,*,,,,
Axitinib,Renal cell carcinoma,,,*,,,,
Avapritinib,Gastrointestinal stromal tumor,"AYVAKIT- avapritinib tablet, film coated","
AYVAKIT® is indicated for the treatment of adults with unresectable or metastatic GIST harboring a platelet-derived growth factor receptor alpha (PDGFRA) exon 18 mutation, including PDGFRA D842V mutations [see Dosage and Administration (2.2)].","platelet-derived growth factor receptor alpha, PDGFRA",Yes,,,
Avapritinib,Systemic mastocytosis,"AYVAKIT- avapritinib tablet, film coated","
AYVAKIT is indicated for the treatment of adult patients with advanced systemic mastocytosis (AdvSM). AdvSM includes patients with aggressive systemic mastocytosis (ASM), systemic mastocytosis with an associated hematological neoplasm (SM-AHN), and mast cell leukemia (MCL).




Limitations of Use:
AYVAKIT is not recommended for the treatment of patients with AdvSM with platelet counts of less than 50 × 109/L [see Warnings and Precautions (5.1)].

 


1.3	Indolent Systemic Mastocytosis (ISM)
AYVAKIT is indicated for the treatment of adult patients with indolent systemic mastocytosis (ISM).




Limitations of Use:
AYVAKIT is not recommended for the treatment of patients with ISM with platelet counts of less than 50 × 109/L [see Warnings and Precautions (5.1)].",AdvSM,Yes,,,
Azacitidine,Acute myeloid leukemia,,,*,,,,
Azacitidine,Myelodysplastic syndromes,,,*,,,,
Iobenguane I 131,Pheochromocytoma,,,*,,,,
Iobenguane I 131,paraganglioma,,,*,,,,
Erdafitinib,Urothelial carcinoma,"BALVERSA- erdafitinib tablet, film coated",,*,,,,
Avelumab,Renal cell carcinoma,"BAVENCIO- avelumab injection, solution, concentrate","
BAVENCIO in combination with axitinib is indicated for the first-line treatment of patients with advanced renal cell carcinoma (RCC) [see Clinical Studies (14.3)].",BAVENCIO,Yes,Yes,,
Avelumab,Urothelial cancer,"BAVENCIO- avelumab injection, solution, concentrate",,*,,,,
